model_prediction,golden_intent,count
order_delivery,account_access,25
order_delivery,cancellation_subscription,16
order_delivery,seller_marketplace,13
order_delivery,payment_billing,11
order_delivery,digital_service_issue,10
order_delivery,refund_return,9
order_delivery,product_device_issue,7
digital_service_issue,payment_billing,3
digital_service_issue,account_access,3
refund_return,cancellation_subscription,3
refund_return,payment_billing,3
payment_billing,account_access,2
account_access,payment_billing,2
account_access,product_device_issue,2
cancellation_subscription,account_access,1
cancellation_subscription,digital_service_issue,1
cancellation_subscription,refund_return,1
digital_service_issue,refund_return,1
payment_billing,refund_return,1
payment_billing,seller_marketplace,1
product_device_issue,digital_service_issue,1
refund_return,account_access,1
product_device_issue,seller_marketplace,1
refund_return,product_device_issue,1
refund_return,seller_marketplace,1
