customer_tweet_id,customer_text,historical_resolution,golden_intent,notes
1646814,"@AmazonHelp ordered item with free one day delivery, promised by 8:00 PM.  got a ""sorry"" message with new delivery window of 11/6 to 11/9.","1. @503175 Understood! Just to clarify, could you tell us the carrier for delivery indicated in your tracking?: https://t.co/Y5jpI9gRhE ^VB",,
825888,"Ok @115821 I'm about done w your racist ass Alexa. I'm tired of whiting up my language for her just to say  ""I can't find Cruz by Celia.","1. @316699 Hey kb, we'd like to look in to what you've reported here. Please provide us with your info here: https://t.co/w2Ihxr47py ^PF",,
132387,@115821 why are all prime orders placed today arriving Monday? I pay a fee for next day delivery.,"1. @145866 Prime delivery benefits depend upon stock availability, order deadlines, and in some cases the delivery address. ^KM",,
170949,@AmazonHelp Amazon usa delivered it today,"1. @155867 I'd like a member of our team to help get this escalated for you, please submit your info here: https://t.co/yH9F4EyJVM ^NC",,
1379314,"@AmazonHelp Amazon delivery person started leaving packages on table in apartment mailroom. Some fall in trash, easy to steal before pickup https://t.co/EsQphZ37QM",1. @195886 Our team would like to look into this. Please provide us with more details about your location here: https://t.co/YivYFIad10 ^CN,,
603196,@AmazonHelp You have missed the delivery date for my last 3 packages. I have one now saying delivering today but it hasn’t even shipped.,"1. @263286 Apologies both for missing the mark and letting you down. We always want the best experience for our customers. Please keep us posted on delivery! If anything changes with your order, you can review communications here: https://t.co/VTINGGGQSj ^FD",,
10629,@AmazonHelp why doesn't blue light filter work on kids account on the fire kids edition?,1. @117946 I'm sorry! Blue Shade isn't a supported feature on child profiles. ^WT,,
2496089,"@AmazonHelp Yeah, i am. My neighbor ordered it and appearently its still out for delivery but was supposed to be here by 8pm cst.",1. @712362 Thanks for confirming! We'd like to help the best we can. Who's the carrier listed for the order? ^HC,,
358815,"@AmazonHelp Typing to get my refund, plz see the screenshot for further info https://t.co/psIDS0veGI",1. @200980 Could you please confirm if you've shared your details in the link provided earlier? ^AG,,
989712,"@115821 @AmazonHelp Please read previous tweet and resolve the issues. First, the delay in delivering both the packages. Second, both packages are missing.",1. @354452 We're unable to access your account via Twitter. Have you checked the link above for tips on locating your order? ^MI,,
973544,"Thank you @115850 for #beforetimedelivery of my books !!
#amazingamazon #iloveamazon","1. @350882 We're glad to know about this, Simran. Have an awesome weekend! 😃 ^RS",,
1093234,"@AmazonHelp And just now I received an SMS, saying the delivery was attempted. The delivery guy is lying. I have a recording of the call w him.",1. @360312 Apologies for the trouble you've had. Kindly fill in your details here: https://t.co/GIJyeYqKE0 and I'll help you with it. ^MM,,
